2023-06-30 00:36:35,534 DEBUG      A function send_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57058), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1688074595.5325596, 'user': {'account_name': 'user_1'}}), {} from the function init_socket
2023-06-30 00:36:36,035 DEBUG      A function get_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57058), raddr=('127.0.0.1', 7777)>,), {} from the function init_socket
2023-06-30 00:36:36,036 DEBUG      generated hello_message from the server: {'response': 400, 'error': 'Name already in use'}
2023-06-30 00:36:36,036 ERROR      invalid message received from client
2023-06-30 00:37:08,527 DEBUG      A function arg_parser was called with parameters (), {} from the function main
2023-06-30 00:37:08,528 INFO       server connection established
2023-06-30 00:37:08,530 DEBUG      generated message 'presence' for user user_7
2023-06-30 00:37:08,532 DEBUG      A function send_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 46430), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1688074628.5306818, 'user': {'account_name': 'user_7'}}), {} from the function init_socket
2023-06-30 00:37:09,035 DEBUG      A function get_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 46430), raddr=('127.0.0.1', 7777)>,), {} from the function init_socket
2023-06-30 00:37:09,035 DEBUG      generated hello_message from the server: {'response': 200}
2023-06-30 00:37:09,036 INFO       sending message 200 : OK from server to client
2023-06-30 00:37:09,056 DEBUG      The client started processes for sending and receiving messages
2023-06-30 00:38:03,061 DEBUG      A function arg_parser was called with parameters (), {} from the function main
2023-06-30 00:38:03,064 INFO       server connection established
2023-06-30 00:38:03,064 DEBUG      generated message 'presence' for user user_10
2023-06-30 00:38:03,065 DEBUG      A function send_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 47050), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1688074683.0644808, 'user': {'account_name': 'user_10'}}), {} from the function init_socket
2023-06-30 00:38:03,569 DEBUG      A function get_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 47050), raddr=('127.0.0.1', 7777)>,), {} from the function init_socket
2023-06-30 00:38:03,570 DEBUG      generated hello_message from the server: {'response': 200}
2023-06-30 00:38:03,570 INFO       sending message 200 : OK from server to client
2023-06-30 00:38:03,571 DEBUG      The client started processes for sending and receiving messages
2023-06-30 00:38:31,032 DEBUG      generated dict_message {'action': 'message', 'from': 'user_7', 'to': 'user_10', 'time': 1688074711.0320847, 'msg_text': 'Hi'}
2023-06-30 00:38:31,034 DEBUG      A function send_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 46430), raddr=('127.0.0.1', 7777)>, {'action': 'message', 'from': 'user_7', 'to': 'user_10', 'time': 1688074711.0320847, 'msg_text': 'Hi'}), {} from the function create_msg
2023-06-30 00:38:31,034 INFO       on server user user_7 to send Hi for user_10
2023-06-30 00:38:31,254 DEBUG      A function get_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 47050), raddr=('127.0.0.1', 7777)>,), {} from the function msg_from_server
2023-06-30 00:38:31,254 INFO       message received from user user_7: Hi
2023-06-30 00:38:50,434 DEBUG      generated dict_message {'action': 'message', 'from': 'user_10', 'to': 'user_7', 'time': 1688074730.4348516, 'msg_text': 'Hello'}
2023-06-30 00:38:50,436 DEBUG      A function send_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 47050), raddr=('127.0.0.1', 7777)>, {'action': 'message', 'from': 'user_10', 'to': 'user_7', 'time': 1688074730.4348516, 'msg_text': 'Hello'}), {} from the function create_msg
2023-06-30 00:38:50,438 INFO       on server user user_10 to send Hello for user_7
2023-06-30 00:38:50,452 DEBUG      A function get_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 46430), raddr=('127.0.0.1', 7777)>,), {} from the function msg_from_server
2023-06-30 00:38:50,453 INFO       message received from user user_10: Hello
2023-06-30 00:46:48,103 DEBUG      A function arg_parser was called with parameters (), {} from the function main
2023-06-30 00:46:48,105 INFO       server connection established
2023-06-30 00:46:48,106 DEBUG      generated message 'presence' for user jkhkjhj
2023-06-30 00:46:48,107 DEBUG      A function send_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 60204), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1688075208.1061883, 'user': {'account_name': 'jkhkjhj'}}), {} from the function init_socket
2023-06-30 00:46:48,610 DEBUG      A function get_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 60204), raddr=('127.0.0.1', 7777)>,), {} from the function init_socket
2023-06-30 00:46:48,610 DEBUG      generated hello_message from the server: {'response': 200}
2023-06-30 00:46:48,610 INFO       sending message 200 : OK from server to client
2023-06-30 00:46:48,615 DEBUG      The client started processes for sending and receiving messages
2023-06-30 00:49:41,334 DEBUG      A function arg_parser was called with parameters (), {} from the function main
2023-06-30 00:49:41,336 INFO       server connection established
2023-06-30 00:49:41,336 DEBUG      generated message 'presence' for user user
2023-06-30 00:49:41,337 DEBUG      A function send_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 56596), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1688075381.3363802, 'user': {'account_name': 'user'}}), {} from the function init_socket
2023-06-30 00:49:41,840 DEBUG      A function get_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 56596), raddr=('127.0.0.1', 7777)>,), {} from the function init_socket
2023-06-30 00:49:41,840 DEBUG      generated hello_message from the server: {'response': 200}
2023-06-30 00:49:41,840 INFO       sending message 200 : OK from server to client
2023-06-30 00:49:41,842 DEBUG      The client started processes for sending and receiving messages
2023-06-30 00:57:00,372 DEBUG      A function arg_parser was called with parameters (), {} from the function main
2023-06-30 00:57:00,373 INFO       server connection established
2023-06-30 00:57:00,374 DEBUG      generated message 'presence' for user test_1
2023-06-30 00:57:00,375 DEBUG      A function send_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 43470), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1688075820.3739939, 'user': {'account_name': 'test_1'}}), {} from the function init_sock
2023-06-30 00:57:00,384 DEBUG      A function arg_parser was called with parameters (), {} from the function main
2023-06-30 00:57:00,390 INFO       server connection established
2023-06-30 00:57:00,390 DEBUG      generated message 'presence' for user test_0
2023-06-30 00:57:00,391 DEBUG      A function get_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 43470), raddr=('127.0.0.1', 7777)>,), {} from the function init_sock
2023-06-30 00:57:00,391 DEBUG      generated hello_message from the server: {'response': 200}
2023-06-30 00:57:00,392 INFO       sending message 200 : OK from server to client
2023-06-30 00:57:00,392 DEBUG      A function send_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 43476), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1688075820.3905613, 'user': {'account_name': 'test_0'}}), {} from the function init_sock
2023-06-30 00:57:00,408 DEBUG      The client started processes for sending and receiving messages
2023-06-30 00:57:00,893 DEBUG      A function get_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 43476), raddr=('127.0.0.1', 7777)>,), {} from the function init_sock
2023-06-30 00:57:00,893 DEBUG      generated hello_message from the server: {'response': 200}
2023-06-30 00:57:00,894 INFO       sending message 200 : OK from server to client
2023-06-30 00:57:00,906 DEBUG      The client started processes for sending and receiving messages
